neighborhood_municipality,indv_tested,cases,deaths,update_date
Aleppo,612,110,9,2021-04-05
Allegheny Center (Pittsburgh),486,98,5,2021-04-05
Allegheny West (Pittsburgh),216,28,0,2021-04-05
Allentown (Pittsburgh),734,130,0,2021-04-05
Arlington (Pittsburgh),537,116,5,2021-04-05
Arlington Heights (Pittsburgh),77,9,2,2021-04-05
Aspinwall,1030,148,1,2021-04-05
Avalon,1533,304,9,2021-04-05
Baldwin Borough,7526,2295,48,2021-04-05
Baldwin Township,647,156,1,2021-04-05
Banksville (Pittsburgh),1334,305,14,2021-04-05
Bedford Dwellings (Pittsburgh),374,59,3,2021-04-05
Beechview (Pittsburgh),2406,579,9,2021-04-05
Bell Acres,437,72,1,2021-04-05
Bellevue,2566,492,7,2021-04-05
Beltzhoover (Pittsburgh),499,100,1,2021-04-05
Ben Avon,606,104,0,2021-04-05
Ben Avon Heights,150,21,0,2021-04-05
Bethel Park,10707,2368,59,2021-04-05
Blawnox,422,77,1,2021-04-05
Bloomfield (Pittsburgh),3503,459,5,2021-04-05
Bluff (Pittsburgh),2971,720,0,2021-04-05
Bon Air (Pittsburgh),222,56,1,2021-04-05
Brackenridge,1426,321,13,2021-04-05
Braddock,737,154,0,2021-04-05
Braddock Hills,550,95,0,2021-04-05
Bradford Woods,397,79,0,2021-04-05
Brentwood,3348,809,14,2021-04-05
Bridgeville,1544,348,8,2021-04-05
Brighton Heights (Pittsburgh),2641,480,3,2021-04-05
Brookline (Pittsburgh),4263,866,8,2021-04-05
California-Kirkbride (Pittsburgh),222,47,3,2021-04-05
Carnegie,2527,507,2,2021-04-05
Carrick (Pittsburgh),3166,702,12,2021-04-05
Castle Shannon,2590,604,7,2021-04-05
Central Business District (Pittsburgh),2689,313,0,2021-04-05
Central Lawrenceville (Pittsburgh),2001,278,18,2021-04-05
Central Northside (Pittsburgh),1235,182,4,2021-04-05
Central Oakland (Pittsburgh),2236,450,0,2021-04-05
Chalfant,228,47,1,2021-04-05
Chartiers City (Pittsburgh),154,30,0,2021-04-05
Chateau (Pittsburgh),16,0,0,2021-04-05
Cheswick,529,115,2,2021-04-05
Churchill,1100,203,3,2021-04-05
Clairton,2197,479,7,2021-04-05
Collier,2803,613,4,2021-04-05
Coraopolis,1580,354,6,2021-04-05
Crafton,1940,428,9,2021-04-05
Crafton Heights (Pittsburgh),1232,274,1,2021-04-05
Crawford-Roberts (Pittsburgh),904,179,5,2021-04-05
Crescent,691,194,7,2021-04-05
Dormont,2750,539,2,2021-04-05
Dravosburg,530,127,2,2021-04-05
Duquesne,1641,334,9,2021-04-05
Duquesne Heights (Pittsburgh),884,217,2,2021-04-05
East Allegheny (Pittsburgh),807,113,3,2021-04-05
East Carnegie (Pittsburgh),191,51,2,2021-04-05
East Deer,465,116,0,2021-04-05
East Hills (Pittsburgh),850,184,5,2021-04-05
East Liberty (Pittsburgh),2549,408,22,2021-04-05
East Mckeesport,614,143,2,2021-04-05
East Pittsburgh,595,127,2,2021-04-05
Edgewood,1274,126,0,2021-04-05
Edgeworth,674,59,1,2021-04-05
Elizabeth Borough,438,99,0,2021-04-05
Elizabeth Township,4157,1029,17,2021-04-05
Elliott (Pittsburgh),738,133,1,2021-04-05
Emsworth,990,171,0,2021-04-05
Esplen (Pittsburgh),55,15,0,2021-04-05
Etna,1109,223,2,2021-04-05
Fairywood (Pittsburgh),708,142,1,2021-04-05
Fawn,661,171,1,2021-04-05
Findlay,1642,373,2,2021-04-05
Fineview (Pittsburgh),343,51,2,2021-04-05
Forest Hills,2170,378,8,2021-04-05
Forward,886,218,3,2021-04-05
Fox Chapel,2260,306,1,2021-04-05
Franklin Park,4850,949,16,2021-04-05
Frazer,337,83,0,2021-04-05
Friendship (Pittsburgh),847,75,0,2021-04-05
Garfield (Pittsburgh),1254,190,6,2021-04-05
Glassport,1330,288,5,2021-04-05
Glen Hazel (Pittsburgh),493,127,22,2021-04-05
Glen Osborne,176,21,0,2021-04-05
Glenfield,62,15,0,2021-04-05
Green Tree,1640,398,4,2021-04-05
Greenfield (Pittsburgh),2654,349,5,2021-04-05
Hampton,5906,1266,16,2021-04-05
Harmar,1253,290,22,2021-04-05
Harrison,3144,730,6,2021-04-05
Hays (Pittsburgh),94,32,1,2021-04-05
Haysville,19,3,0,2021-04-05
Hazelwood (Pittsburgh),1353,224,2,2021-04-05
Heidelberg,386,75,1,2021-04-05
Highland Park (Pittsburgh),2613,306,7,2021-04-05
Homestead,979,197,3,2021-04-05
Homewood North (Pittsburgh),770,158,2,2021-04-05
Homewood South (Pittsburgh),738,150,5,2021-04-05
Homewood West (Pittsburgh),202,39,0,2021-04-05
Indiana,2457,559,13,2021-04-05
Ingram,1033,224,3,2021-04-05
Jefferson Hills,4427,1079,26,2021-04-05
Kennedy,3175,734,33,2021-04-05
Kilbuck,235,40,0,2021-04-05
Knoxville (Pittsburgh),998,207,1,2021-04-05
Larimer (Pittsburgh),956,195,8,2021-04-05
Leet,460,94,1,2021-04-05
Leetsdale,309,66,0,2021-04-05
Liberty,775,190,0,2021-04-05
Lincoln,287,79,2,2021-04-05
Lincoln Place (Pittsburgh),983,220,4,2021-04-05
Lincoln-Lemington-Belmar (Pittsburgh),1537,232,5,2021-04-05
Lower Lawrenceville (Pittsburgh),1025,174,2,2021-04-05
Manchester (Pittsburgh),797,158,3,2021-04-05
Marshall,2888,478,2,2021-04-05
Marshall-Shadeland (Pittsburgh),1177,219,1,2021-04-05
McCandless,9589,1797,85,2021-04-05
McKeesport,6953,1574,46,2021-04-05
Mcdonald,76,16,0,2021-04-05
Mckees rocks,1734,359,11,2021-04-05
Middle Hill (Pittsburgh),512,99,2,2021-04-05
Millvale,1172,208,1,2021-04-05
Monroeville,11082,2588,87,2021-04-05
Moon,8802,1993,27,2021-04-05
Morningside (Pittsburgh),1144,176,5,2021-04-05
Mount Lebanon,12361,2042,59,2021-04-05
Mount Oliver Borough,983,220,2,2021-04-05
Mount Washington (Pittsburgh),3225,671,5,2021-04-05
Mt. Oliver (Pittsburgh),121,25,0,2021-04-05
Munhall,3713,785,10,2021-04-05
Neville,322,53,1,2021-04-05
New Homestead (Pittsburgh),318,86,0,2021-04-05
North Braddock,1299,277,2,2021-04-05
North Fayette,4430,981,13,2021-04-05
North Oakland (Pittsburgh),2718,294,3,2021-04-05
North Shore (Pittsburgh),254,27,0,2021-04-05
North Versailles,3331,698,9,2021-04-05
Northview Heights (Pittsburgh),397,61,4,2021-04-05
O'Hara,3139,506,4,2021-04-05
Oakdale,473,107,4,2021-04-05
Oakmont,3978,588,16,2021-04-05
Oakwood (Pittsburgh),262,62,0,2021-04-05
Ohio,2527,465,4,2021-04-05
Overbrook (Pittsburgh),1203,270,5,2021-04-05
Penn Hills,13201,2822,60,2021-04-05
Pennsbury Village,250,57,0,2021-04-05
Perry North (Pittsburgh),1306,261,4,2021-04-05
Perry South (Pittsburgh),1669,299,3,2021-04-05
Pine,4729,961,7,2021-04-05
Pitcairn,10,1,0,2021-04-05
Pleasant Hills,3016,760,19,2021-04-05
Plum,8235,1989,45,2021-04-05
Point Breeze (Pittsburgh),2319,205,2,2021-04-05
Point Breeze North (Pittsburgh),801,98,2,2021-04-05
Polish Hill (Pittsburgh),490,65,0,2021-04-05
Port Vue,1209,275,5,2021-04-05
Rankin,518,94,1,2021-04-05
Regent Square (Pittsburgh),417,43,3,2021-04-05
Reserve,982,234,2,2021-04-05
Richland,3806,854,36,2021-04-05
Ridgemont (Pittsburgh),125,25,0,2021-04-05
Robinson,5350,1149,13,2021-04-05
Ross,10726,2321,85,2021-04-05
Rosslyn Farms,120,14,0,2021-04-05
Scott,6694,1267,57,2021-04-05
Sewickley,1294,228,2,2021-04-05
Sewickley Heights,353,48,1,2021-04-05
Sewickley Hills,185,35,0,2021-04-05
Shadyside (Pittsburgh),6997,672,17,2021-04-05
Shaler,8736,2007,33,2021-04-05
Sharpsburg,989,134,2,2021-04-05
